Command line: ['16.py']
Total duration: 23.3386s
File: 16.py
File duration: 23.3381s (100.00%)
Line #|      Hits|         Time| Time per hit|      %|Source code
------+----------+-------------+-------------+-------+-----------
     1|         3|            0|            0|  0.00%|def processInput(origInput):
     2|         1|            0|            0|  0.00%|  input = []
     3|     10001|     0.069546|   6.9539e-06|  0.30%|  for cmd in origInput:
     4|     10000|    0.0830579|  8.30579e-06|  0.36%|    if (cmd[0] == "s"):
     5|      3102|    0.0290165|  9.35412e-06|  0.12%|      value = int(cmd[1:])
     6|      3102|    0.0315256|   1.0163e-05|  0.14%|      input.append( (1, value) )
     7|      6898|    0.0445266|    6.455e-06|  0.19%|    elif (cmd[0] == "x"):
     8|      4680|    0.0470316|  1.00495e-05|  0.20%|      values = list(map(int, cmd[1:].split("/")))
     9|      4680|    0.0410285|  8.76677e-06|  0.18%|      input.append( (2, values[0], values[1]) )
    10|      2218|    0.0180156|  8.12246e-06|  0.08%|    elif (cmd[0] == "p"):
    11|      2218|    0.0210133|  9.47397e-06|  0.09%|      names = cmd[1:].split("/")
    12|      2218|    0.0165074|  7.44246e-06|  0.07%|      input.append( (3, names[0], names[1]) )
    13|         1|            0|            0|  0.00%|  return input
    14|         0|            0|            0|  0.00%|
    15|         0|            0|            0|  0.00%|
    16|        52|  0.000499964|  9.61469e-06|  0.00%|def dance(progs, input):
    17|    510051|       3.9817|  7.80647e-06| 17.06%|  for i in range(len(input)):
    18|    510000|      3.95205|  7.74913e-06| 16.93%|    cmd = input[i]
    19|    510000|      4.06013|  7.96103e-06| 17.40%|    if (cmd[0] == 1):
    20|    158202|      1.38588|  8.76021e-06|  5.94%|      progs = progs[-cmd[1]:] + progs[:-cmd[1]]
    21|    351798|      2.78338|  7.91186e-06| 11.93%|    elif (cmd[0] == 2):
    22|    238680|      1.95536|  8.19239e-06|  8.38%|      swappers = (progs[cmd[1]], progs[cmd[2]])
    23|    238680|      1.93992|  8.12768e-06|  8.31%|      progs[cmd[1]], progs[cmd[2]] = swappers[1], swappers[0]
    24|    113118|     0.876084|  7.74487e-06|  3.75%|    elif (cmd[0] == 3):
    25|    113118|      1.00115|  8.85047e-06|  4.29%|      indices = (progs.index(cmd[1]), progs.index(cmd[2]))
    26|    113118|     0.996197|   8.8067e-06|  4.27%|      progs[indices[0]], progs[indices[1]] = progs[indices[1]], progs[indices[0]]
    27|         0|            0|            0|  0.00%|
    28|        51|   0.00150132|  2.94377e-05|  0.01%|  return progs
    29|         0|            0|            0|  0.00%|
    30|         0|            0|            0|  0.00%|
    31|         2|  0.000500202|  0.000250101|  0.00%|def main():
    32|         1|            0|            0|  0.00%|  with open("input", "r") as file:
(call)|         1|            0|            0|  0.00%|# C:\Python36-32\lib\_bootlocale.py:11 getpreferredencoding
